hora_actual,lastPrice,factor5,factor6,score_alcistabase,score_bajistabase,valor_total_fdusd,Decisión,Aciertos,deltascore,aciertosinfactorcompra,aciertosinfactorventa
2025-10-16 03:21:01.357811,110983.61,1,1,2392991.2450618013,2963216.5415218035,165.1662263211,-1,-1,-570225.2964600022,0,0
2025-10-16 03:24:01.827593,110937.11,1,1,2583941.090507903,3297913.358882603,165.1652403439,-1,1,-713972.2683746996,0,0
2025-10-16 03:27:01.432053,110888.59,1,1,2851021.3827493037,3269648.8422138025,165.1646575409,-1,1,-418627.4594644988,0,1
2025-10-16 03:30:01.447502,110861.28,1,1,3256432.6071477025,2756651.636027803,165.1642066528,1,1,499780.9711198993,0,1
2025-10-16 03:33:01.381344,110920.24,1,1,2565042.9439419033,2737355.5671088025,165.2512178824,-1,1,-172312.6231668992,1,0
2025-10-16 03:36:02.582884,110959.24,1,1,2535400.5155798024,2724957.6183617017,165.3281735836,-1,-1,-189557.10278189927,0,-1
2025-10-16 03:39:02.662161,110880.69,1,1,2543106.3379503037,3284005.477213702,165.30740210000002,-1,1,-740899.1392633985,0,0
2025-10-16 03:42:01.437602,111080.01,1,1,2463953.786874499,2192888.9297694983,165.3107372851,1,-1,271064.8571050009,0,-1
2025-10-16 03:45:01.402634,111031.36,1,1,2684461.6315915985,2284934.8002478997,165.2388612736,1,-1,399526.8313436988,-1,0
2025-10-16 03:48:01.435514,111036.65,1,3,2306702.427203001,2525468.5482911984,165.2466720115,-1,1,-218766.12108819745,1,0
2025-10-16 03:51:01.877846,110990.6,1,3,2451728.979578396,2614055.638659501,165.24599300059998,-1,1,-162326.65908110514,0,1
2025-10-16 03:54:06.093053,111137.43,1,1,2677937.5356536997,2506948.1712124,165.24787943319998,1,-1,170989.3644412998,0,-1
2025-10-16 03:57:01.382738,111173.7,1,1,3221589.375020599,2559476.1549011013,165.30178670700002,1,1,662113.2201194977,0,0
2025-10-16 04:00:01.463653,111121.5,1,1,2880316.661957099,2430418.9840946984,165.22471288500003,1,-1,449897.67786240065,-1,0
2025-10-16 04:03:01.417639,111105.27,1,1,2973037.419367502,2350474.3366608,165.20074912770002,1,-1,622563.0827067019,0,0
2025-10-16 04:06:01.408047,111153.51,1,1,3025700.813958199,2247134.1738976967,165.27197597010002,1,1,778566.6400605026,0,0
2025-10-16 04:09:01.385475,111207.12,1,1,2894365.076943899,2122923.2340904973,165.3511316712,1,1,771441.8428534018,0,0
2025-10-16 04:12:01.410982,111144.24,1,1,2612484.0087107993,2127440.0868384973,165.25828872240004,1,-1,485043.92187230196,-1,0
2025-10-16 04:15:01.414393,111159.49,1,1,3107336.1742679016,2111616.327543697,165.2808054999,1,1,995719.8467242047,0,0
2025-10-16 04:18:01.428968,111162.78,3,1,2571625.473040798,2563904.8761651986,165.2856632178,-1,1,7720.5968755995855,1,0
2025-10-16 04:21:01.416636,111197.9,1,1,2735953.8739986,2588942.9841862004,165.286184649,1,-1,147010.88981239963,1,0
2025-10-16 04:24:01.833455,111121.34,1,1,2927037.407887699,2220954.6547931964,165.18379341610003,1,-1,706082.7530945027,0,0
2025-10-16 04:27:01.475070,111076.41,1,1,2898242.5474842996,2672979.0911839996,165.10797484910003,1,-1,225263.45630030008,-1,0
2025-10-16 04:30:01.406772,110975.09,1,1,3835863.1458190014,2397318.6607544976,164.9593880559,1,-1,1438544.4850645037,0,0
2025-10-16 04:33:01.830868,110829.66,1,1,3415922.9987049014,2410681.8605746017,164.75085033390002,1,-1,1005241.1381302997,0,0
2025-10-16 04:36:02.232353,110278.33,1,1,2206339.083968803,1651056.3995436965,163.95066381750001,1,-1,555282.6844251063,0,0
2025-10-16 04:39:01.634997,110042.34,1,1,1967930.4579745014,1752218.4530447014,163.6226201956,1,-1,215712.00492980005,-1,0
2025-10-16 04:42:01.466847,110127.04,1,1,2099300.383447703,2300393.122478202,163.7157142504,-1,1,-201092.739030499,1,0
2025-10-16 04:45:01.452021,111568.52,1,1,2029105.795388499,2092372.8487789028,163.7394550852,-1,-1,-63267.053390403744,0,-1
2025-10-16 04:48:06.174152,111793.11,1,1,2062037.5049728977,1999930.4714731022,163.7411343173,1,-1,62107.03349979548,0,-1
2025-10-16 04:51:03.315680,111732.18,1,3,1971920.324463795,2311223.4881101013,163.70008016070003,-1,-1,-339303.1636463064,-1,0
2025-10-16 04:54:01.441285,111579.76,1,3,1872141.4113544982,2309882.500113001,163.6517862576,-1,1,-437741.08875850285,0,1
2025-10-16 04:57:01.410043,111418.0,1,1,2049159.9285991997,2158517.258571999,163.6491156,-1,1,-109357.3299727994,0,1
2025-10-16 05:00:01.440060,111446.07,1,1,2289773.9339890033,2589901.4725928036,163.6495790357,-1,-1,-300127.53860380035,0,-1
2025-10-16 05:03:02.383027,111555.65,1,1,2497016.7148076002,2455400.8531155037,163.6511514481,1,-1,41615.86169209657,0,-1
2025-10-16 05:06:01.464763,111353.91,1,1,2743606.699489405,2472732.9592098994,163.35750867410002,1,-1,270873.7402795055,-1,0
2025-10-16 05:09:05.110100,111461.71,1,3,2237652.178663601,2424811.7345561013,163.5576040179,-1,1,-187159.5558925001,1,0
2025-10-16 05:12:01.475493,111416.81,1,3,2393665.3988892017,2607453.672122305,163.5137215531,-1,1,-213788.2732331031,0,1
2025-10-16 05:15:01.413380,111695.16,1,1,2578495.227299899,2742433.8075868017,163.5183171116,-1,-1,-163938.58028690284,0,-1
2025-10-16 05:18:01.462673,111919.44,1,1,2166422.574711598,2187772.5881360983,163.52201997440002,-1,-1,-21350.013424500357,0,-1
2025-10-16 05:21:01.884929,111731.84,1,1,2400318.291105503,2400242.0677318037,163.51895802980002,1,1,76.22337369946763,0,1
2025-10-16 05:24:01.448823,111691.64,1,1,2576992.0612831023,2302918.1548541007,163.4603277964,1,-1,274073.9064290016,-1,0
2025-10-16 05:27:01.681421,111699.88,1,1,2160724.505087897,2397177.348926998,163.47232943880002,-1,1,-236452.84383910103,1,0
2025-10-16 05:30:01.883373,111659.93,1,1,2355889.0282382974,2563622.138185497,163.4715462243,-1,1,-207733.10994719947,0,1
2025-10-16 05:33:02.775187,111763.43,1,1,2991692.6613358054,2465019.3672298,163.4730649792,1,-1,526673.2941060052,0,0
2025-10-16 05:36:02.088412,111603.49,1,1,2876806.6450116993,2699583.7452289,163.4705432418,1,-1,177222.89978279918,-1,0
2025-10-16 05:39:03.441586,111575.86,1,1,2324456.207594696,2784807.2815053994,163.4261701547,-1,-1,-460351.0739107034,-1,0
2025-10-16 05:42:02.494713,111749.53,3,1,2062520.9998183956,2042840.4711725004,163.69721210059998,-1,-1,19680.52864589519,0,-1
2025-10-16 05:45:05.589220,111753.28,1,1,2643801.0985270008,2085268.4236334017,163.6830807933,1,1,558532.674893599,0,0
2025-10-16 05:48:02.806927,111847.2,3,1,2576182.026141501,2196470.451663598,163.8316236512,-1,1,379711.5744779031,1,0
2025-10-16 05:51:01.478502,111878.62,1,1,2652274.626239198,2350010.9868053994,163.8205492362,1,-1,302263.6394337984,1,0
2025-10-16 05:54:01.405915,111879.0,1,1,2741911.002023398,2133703.6943082004,163.82105951000003,1,1,608207.3077151976,0,0
2025-10-16 05:57:01.480927,111798.84,1,1,2742617.617416898,2454431.157667802,163.7043056684,1,-1,288186.4597490956,-1,0
2025-10-16 06:00:01.896680,111758.64,1,1,2621074.155559198,2257044.1931245024,163.6326890717,1,-1,364029.96243469557,-1,0
2025-10-16 06:03:03.219759,111794.84,1,1,2276561.1760501,2556208.2909286,163.68724993630002,-1,1,-279647.1148784999,1,0
2025-10-16 06:06:01.446119,111796.16,3,1,2514121.6094371965,2337132.0633158013,163.6984438216,-1,-1,176989.5461213952,0,-1
2025-10-16 06:09:01.473805,111571.04,1,1,2445645.558738394,2151755.0604716004,163.6947270904,1,1,293890.4982667938,-1,0
2025-10-16 06:12:01.848191,111670.1,1,1,2783530.1442937986,2365502.130476597,163.8600414707,1,1,418028.01381720137,1,0
2025-10-16 06:15:02.769382,111736.45,1,3,2626805.791584601,2643054.164938398,163.9359110766,-1,1,-16248.373353797011,1,0
2025-10-16 06:18:03.315704,111646.08,1,1,2774339.8972722,2302872.0816188985,163.9339824615,1,1,471467.8156533013,0,1
2025-10-16 06:21:01.460044,111639.66,1,1,2723789.6520016994,2542175.1798517,163.9246472066,1,-1,181614.47214999935,-1,0
2025-10-16 06:24:01.830438,111630.57,1,1,2278492.087602195,2618582.8818048,163.91448076679998,-1,-1,-340090.79420260526,-1,0
2025-10-16 06:27:01.429275,111503.45,3,1,2512456.3192594997,2418976.608992401,163.90925117950002,-1,1,93479.71026709862,0,1
2025-10-16 06:30:01.915701,111419.57,3,1,2872375.580911998,2849356.581250003,163.9079607579,-1,1,23018.999661995098,-1,0
2025-10-16 06:33:01.422455,111488.05,1,1,2336129.2930798014,3288600.2659328026,163.90899692550002,-1,-1,-952470.9728530012,1,0
2025-10-16 06:36:02.293902,111451.36,1,1,2753317.4810919003,3238919.5422731033,163.90837614950001,-1,1,-485602.061181203,0,1
2025-10-16 06:39:01.852127,111429.65,1,1,2722318.3519156994,3251968.7906201053,163.9080722004,-1,1,-529650.4387044059,0,0
2025-10-16 06:42:01.477065,111411.24,1,1,2910357.9161054003,3277728.883755303,163.9077287924,-1,1,-367370.9676499027,0,1
2025-10-16 06:45:01.449801,111460.78,1,1,2811700.3464127006,3328935.4407296022,163.9085466978,-1,-1,-517235.09431690164,0,0
2025-10-16 06:48:02.251440,111513.01,1,1,2523137.7051712987,3172991.6199159035,163.9094833101,-1,-1,-649853.9147446048,0,0
2025-10-16 06:51:01.885469,111506.67,1,1,2857256.7514144983,2993322.559159403,163.909438568,-1,-1,-136065.8077449049,0,-1
2025-10-16 06:54:01.485875,111509.75,1,3,2859885.8884393997,3005635.957540402,163.90935519250002,-1,-1,-145750.06910100253,0,-1
2025-10-16 06:57:01.453684,111670.2,1,3,2254163.687934794,2351611.6088559986,163.912004222,-1,-1,-97447.92092120461,0,-1
2025-10-16 07:00:01.427830,111718.8,1,1,1840010.1390889979,1754941.2838615999,163.912806608,1,-1,85068.85522739799,0,-1
2025-10-16 07:03:02.384436,112178.24,1,1,1830494.4039895006,2454901.9102778,164.61123294360002,-1,1,-624407.5062882996,1,0
2025-10-16 07:06:01.434074,112005.57,1,1,2159661.873470402,2662790.004584597,164.5790195807,-1,1,-503128.1311141951,0,0
2025-10-16 07:09:01.466491,111950.0,1,3,2205464.7861870006,2624027.735426999,164.57810212,-1,1,-418562.9492399986,0,1
2025-10-16 07:12:03.292261,111942.21,1,1,4490564.269977097,2264900.7237189994,164.5777864488,1,1,2225663.546258098,0,0
2025-10-16 07:15:01.453606,111827.35,1,1,5132451.679986398,2217758.0970925963,164.4106211685,1,-1,2914693.5828938014,0,0
2025-10-16 07:18:01.424730,111930.83,1,1,5100960.739472498,2066909.0460936981,164.56134082330001,1,1,3034051.6933788,0,0
2025-10-16 07:21:02.408046,111794.32,1,1,2717920.908954804,2884387.8561149947,164.3638235022,-1,-1,-166466.9471601909,-1,0
2025-10-16 07:24:02.351277,111859.84,1,1,2789790.0877314014,2175982.0086585963,164.36351845229999,1,-1,613808.0790728051,0,0
2025-10-16 07:27:03.384547,111674.77,3,1,2655698.5247612987,2223947.851197097,164.10025852610002,-1,-1,431750.6735642017,-1,0
2025-10-16 07:30:01.474102,111732.17,3,1,2494291.1630951986,2016482.3939024967,164.0948273467,-1,-1,477808.7691927019,1,0
2025-10-16 07:33:01.446658,111677.49,1,1,2558491.0171013013,2411627.6168106957,164.0939245799,1,1,146863.4002906056,-1,0
2025-10-16 07:36:02.359639,111786.5,3,1,2848164.799720701,2523037.171018696,164.25781174550002,-1,1,325127.6287020049,1,0
2025-10-16 07:39:01.451414,111912.98,1,1,3719873.8401042027,2635788.2048819996,164.2546717198,1,-1,1084085.635222203,0,0
2025-10-16 07:42:01.428273,111849.17,1,1,4004786.482816701,2448760.945774399,164.16168861670002,1,-1,1556025.5370423016,0,0
2025-10-16 07:45:01.405626,111817.43,1,1,4426902.265435908,2091629.8427595983,164.1154589893,1,-1,2335272.42267631,0,0
2025-10-16 07:48:01.404223,111699.31,1,1,3743713.2005222007,2387287.9443512983,163.94341602810002,1,-1,1356425.2561709024,0,0
2025-10-16 07:51:01.406278,111808.58,1,1,4462539.350612305,2185210.0720297,164.10256887580002,1,1,2277329.278582605,0,0
2025-10-16 07:54:01.417668,111865.57,1,1,3405865.3018044005,2445383.543126898,164.18557538070002,1,1,960481.7586775026,0,0
2025-10-16 07:57:01.814777,111851.69,1,1,3943423.0982729006,2230417.7049715994,164.1614555751,1,-1,1713005.3933013012,0,0
2025-10-16 08:00:01.377076,111804.6,1,1,3944889.7716433997,2231330.1923499987,164.09677196600003,1,-1,1713559.579293401,0,0
2025-10-16 08:03:01.420691,111788.23,1,1,3919706.3688461003,2093540.8982123984,164.07292889730002,1,-1,1826165.470633702,0,0
2025-10-16 08:06:01.452500,111581.1,1,1,2339423.6798801967,2299418.757501298,163.77124198100003,1,-1,40004.9223788986,-1,0
2025-10-16 08:09:02.400886,111562.25,1,1,2114738.6362927975,2282343.6255723983,163.7532249523,-1,-1,-167604.9892796008,-1,0
2025-10-16 08:12:02.198144,111457.6,1,1,2936144.9258196,2428716.839990301,163.74211746129998,1,1,507428.08582929894,0,0
2025-10-16 08:15:01.423823,111612.0,1,1,3298185.778252902,2128698.1481267973,163.96682894000003,1,1,1169487.6301261047,0,0
2025-10-16 08:18:01.423973,111572.97,1,1,3517690.7676831023,2153443.400507997,163.90998135470002,1,-1,1364247.3671751055,0,0
2025-10-16 08:21:01.432457,111452.37,1,1,2998043.5493118977,2137750.5659757988,163.7343262487,1,-1,860292.983336099,0,0
2025-10-16 08:24:02.859367,111361.25,1,1,2176666.5766348997,2325931.740245503,163.61722284470002,-1,-1,-149265.1636106032,-1,0
2025-10-16 08:27:01.441147,111369.31,1,1,3019467.5893224026,2249753.629534203,163.6016845281,1,-1,769713.9597881995,0,0
2025-10-16 08:30:07.243621,111447.02,3,1,2347931.1681917044,1874910.2231774982,163.7177980006,-1,1,473020.9450142062,1,0
2025-10-16 08:33:01.427965,111559.6,1,1,2755892.990599799,4576277.915631002,163.716627816,-1,-1,-1820384.9250312028,1,0
2025-10-16 08:36:01.401291,111626.98,1,1,2934542.0327503984,4483681.784187498,163.7177402598,-1,-1,-1549139.7514370992,0,0
2025-10-16 08:39:01.424806,111753.21,1,1,2230457.939263299,4884429.133127295,163.71982431709998,-1,-1,-2653971.1938639963,0,0
2025-10-16 08:42:01.965737,111598.77,1,1,2999166.200201198,4783041.860434504,163.71667041179998,-1,1,-1783875.6602333062,0,0
2025-10-16 08:45:01.412807,111623.96,1,1,2162970.6238197973,4225262.955918095,163.7176903996,-1,-1,-2062292.3320982978,0,0
2025-10-16 08:48:01.411529,111457.79,1,1,2586170.8678534976,2400294.018220303,163.71494693289998,1,1,185876.8496331945,0,1
2025-10-16 08:51:01.415453,111328.01,1,1,2662216.872460905,2093651.1014409992,163.52587786509997,1,-1,568565.7710199058,0,0
2025-10-16 08:54:02.296858,111211.2,1,1,2450598.928006497,3349584.801776902,163.35610705949998,-1,-1,-898985.8737704046,-1,0
2025-10-16 08:57:01.842870,111146.0,1,1,2269233.7212067964,4357720.996857995,163.3548540535,-1,1,-2088487.2756511988,0,0
2025-10-16 09:00:03.222473,111212.57,1,1,3636687.998328606,1974187.5344419,163.3551888763,1,-1,1662500.4638867062,0,0
2025-10-16 09:03:01.407324,111061.13,1,1,2642467.8490711,2123765.7299388982,163.13507647630001,1,-1,518702.11913220165,0,0
2025-10-16 09:06:01.834467,111116.1,1,1,2646771.043316198,2041725.2336516979,163.20785828100003,1,1,605045.8096645002,0,0
2025-10-16 09:09:01.856625,110858.99,1,1,2498120.037496902,1994557.1390985965,162.8973594792,1,-1,503562.8983983055,0,0
2025-10-16 09:12:02.383328,110538.57,1,1,2476337.922310096,2606419.5959541984,162.39326136820003,-1,-1,-130081.67364410218,-1,0
2025-10-16 09:15:01.419012,110524.97,1,1,2788407.5839276966,4149095.5199035048,162.3736804747,-1,1,-1360687.9359758082,0,0
2025-10-16 09:18:01.432303,110214.58,3,1,2272615.1483949,2162675.624573898,162.3685559358,-1,1,109939.52382100187,0,1
2025-10-16 09:21:01.618596,110359.55,1,1,3438820.1998148914,2198407.1017728024,162.3714105148,1,-1,1240413.098042089,0,0
2025-10-16 09:24:01.406391,110574.2,1,1,4502824.9180596005,2036596.9423833983,162.683531662,1,1,2466227.975676202,0,0
2025-10-16 09:27:01.451473,110408.41,1,1,2266214.8860103004,2137611.131377097,162.4225396351,1,-1,128603.75463320315,-1,0
2025-10-16 09:30:01.444928,110636.21,3,1,2411511.2860987945,2030362.0585214966,162.77384984710002,-1,1,381149.22757729795,1,0
2025-10-16 09:33:03.345428,110793.88,1,1,2736338.5654736008,2645838.3965408006,162.7753326301,1,-1,90500.16893280018,1,0
2025-10-16 09:36:01.793097,110744.08,1,1,2778851.6400444056,2262357.467099396,162.7545483892,1,-1,516494.17294500954,0,0
2025-10-16 09:39:09.368968,110858.77,1,1,2228340.143504902,2288059.6600262993,162.9197748836,-1,1,-59719.51652139751,1,0
2025-10-16 09:42:01.901366,111430.49,1,1,2319805.832856,2478627.8735849005,162.8797691044,-1,-1,-158822.04072890058,0,-1
2025-10-16 09:45:01.415724,111678.49,1,1,2287591.678175797,3561388.0665433058,162.8843266899,-1,-1,-1273796.3883675085,0,0
2025-10-16 09:48:01.815389,111253.83,1,1,2421274.6344117057,3619568.692243807,162.8774476333,-1,1,-1198294.0578321014,0,0
2025-10-16 09:51:01.435874,111063.92,1,1,2529109.3996878965,3241608.447513199,162.8741801392,-1,1,-712499.0478253025,0,0
2025-10-16 09:54:02.389855,111126.34,1,1,2450169.169723596,1984921.119598597,162.8749452126,1,-1,465248.0501249989,0,-1
2025-10-16 09:57:01.488838,111049.0,1,1,2361203.747160798,1934262.351289897,162.76703619100002,1,-1,426941.39587090095,-1,0
2025-10-16 10:00:01.420495,110834.99,3,1,2694352.627989603,2459425.7224695026,162.45081330490004,-1,-1,234926.9055201006,-1,0
2025-10-16 10:03:01.904276,110809.53,3,1,2692665.2080842047,2275448.2777963015,162.4504773463,-1,1,417216.9302879032,-1,0
2025-10-16 10:06:01.415587,110575.98,1,1,2308827.399615895,2983015.816566502,162.44647944980002,-1,1,-674188.4169506072,-1,0
2025-10-16 10:09:05.268434,110609.72,1,1,3281714.6374099934,2677317.779923499,162.4468169142,1,-1,604396.8574864944,0,0
2025-10-16 10:12:01.416382,110890.29,1,1,3548944.478087906,2542418.491593297,162.8556319079,1,1,1006525.9864946087,0,0
2025-10-16 10:15:01.478437,110888.89,3,1,2624212.188839204,2131742.7930573965,162.8616909895,-1,1,492469.3957818076,1,0
2025-10-16 10:18:01.457320,110739.51,1,1,2681643.7488478012,3519934.9610862043,162.8510111451,-1,1,-838291.212238403,-1,0
2025-10-16 10:21:01.390005,110734.91,1,1,2538803.6129699997,3622325.566751703,162.85099298409997,-1,1,-1083521.9537817035,0,0
2025-10-16 10:24:01.408996,110700.48,1,1,2898247.9182233973,2395053.9128048997,162.85042454479998,1,1,503194.0054184976,0,0
2025-10-16 10:27:01.683583,110367.88,3,1,2738289.506721497,2391912.558644003,162.8449036008,-1,-1,346376.9480774943,-1,0
2025-10-16 10:30:01.854306,110358.9,1,1,2772588.3394986927,2039969.791663397,162.84420605329998,1,1,732618.5478352956,0,0
2025-10-16 10:33:01.426298,110427.85,1,1,2862280.0056087947,2047985.089507099,162.94516822350002,1,1,814294.9161016957,0,0
2025-10-16 10:36:01.465295,110147.11,3,1,2583395.5034890966,2256216.4874822004,162.54047692000003,-1,-1,327179.0160068963,-1,0
2025-10-16 10:39:02.379027,110218.45,1,1,2540314.1581202,1899101.9055362984,162.53703369000002,1,-1,641212.2525839016,0,0
2025-10-16 10:42:01.402834,109690.83,1,1,3680449.764274201,2093326.474687701,161.7688608233,1,-1,1587123.2895864998,0,0
2025-10-16 10:45:01.435422,109530.78,1,1,3441374.1723416015,2094540.315831603,161.5357463978,1,-1,1346833.8565099984,0,0
2025-10-16 10:48:01.437657,109204.0,1,1,2281381.2892765054,1946462.4854723027,161.05978806,1,-1,334918.8038042027,-1,0
2025-10-16 10:51:04.137057,109273.11,1,1,2247649.6422486017,2801260.3606426986,161.1338952888,-1,1,-553610.7183940969,1,0
2025-10-16 10:54:01.451136,109127.29,1,1,2140464.8362391987,2430459.779067499,161.1577502473,-1,1,-289994.9428283004,0,1
2025-10-16 10:57:01.511052,108698.0,1,1,1636113.7548596002,1753510.4284454007,161.1503067138,-1,1,-117396.67358580045,0,1
2025-10-16 11:00:01.441353,108828.39,1,1,1926545.7887903976,2262511.811604996,161.1530475389,-1,-1,-335966.02281459863,0,-1
2025-10-16 11:03:01.430690,108613.97,1,1,1854612.429290998,2363739.1595037,161.1495074647,-1,1,-509126.7302127022,0,0
2025-10-16 11:06:01.437034,108716.26,1,1,2022435.0711969002,2203966.5579933934,161.1511962726,-1,-1,-181531.48679649318,0,-1
2025-10-16 11:09:01.405839,109045.42,1,1,2492894.8563243,3171255.2774914983,161.1566307042,-1,-1,-678360.4211671981,0,0
2025-10-16 11:12:01.810312,108868.42,1,1,2295599.618949899,2851948.053320696,161.1533780691,-1,1,-556348.4343707971,0,0
2025-10-16 11:15:01.447661,108890.93,1,1,2108941.522541297,2675383.8604574967,161.1540800743,-1,-1,-566442.3379161996,0,0
2025-10-16 11:18:03.681697,108670.11,1,1,2217123.348633202,2075135.6009246982,161.1502505798,1,1,141987.74770850362,0,1
2025-10-16 11:21:01.472919,108390.11,1,1,2280899.7341141,2242371.307812701,160.7500631014,1,-1,38528.426301399246,-1,0
2025-10-16 11:24:01.830146,108339.95,1,1,3462928.696944301,2353609.684465203,160.6255857326,1,-1,1109319.012479098,0,0
